password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
09-Jul-25,9:51:31 AM,1,OFF,1,0.497,-0.1,OFF,0.00,OFF,-0.30,0.00,0.06,0.00,-0.01,0.00,0,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Volts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,,0.71,0,Watts
09-Jul-25,9:51:36 AM,1,OFF,1,0.497,-0.0,OFF,0.00,OFF,-0.30,0.00,0.06,0.00,-0.01,0.00,0,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Volts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,,0.71,0,Watts
09-Jul-25,9:51:41 AM,1,OFF,1,0.497,-0.1,OFF,1000.00,OFF,-0.30,0.00,0.06,0.00,-0.01,0.00,17,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Volts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:51:46 AM,1,OFF,1,,-0.1,OFF,1000.00,OFF,-0.30,0.00,0.06,0.00,-0.01,0.00,17,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Volts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:51:51 AM,2,ON,30,0.42,-0.1,OFF,275.00,OFF,-0.30,0.00,0.06,0.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:51:56 AM,2,ON,30,,25.1,OFF,275.00,OFF,29.96,30.00,19.95,20.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:52:01 AM,2,ON,30,0.42,32.8,OFF,275.00,OFF,29.98,30.00,19.98,20.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:52:06 AM,2,ON,30,0.42,37.3,OFF,275.00,OFF,29.99,30.00,19.99,20.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:52:11 AM,2,ON,30,0.42,40.2,OFF,275.00,OFF,29.99,30.00,19.99,20.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
09-Jul-25,9:52:16 AM,2,ON,30,0.42,42.2,OFF,275.00,OFF,29.99,30.00,19.99,20.00,-0.01,0.00,16,0,0,0,OFF,Closed,100W MAX!,0.05,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.71,0,Watts
